Data Analyst,"Analytical Skills
",_Áreative Strategy,Content Management,Critical Thinking,Information Architecture,Multitasking,Problem Solving,Product Development,Project Management,Vulnerability Research,Economic Research,Market Research,Outcomes Research,Qualitative Research,Quantitative Research,Teamwork,Time Management,Web Analytics,Applied Mathematics,Mathematical Modeling,"Decision Making
",,,
Business Analyst,"Analytical Skills
",_Áreative Strategy,Content Management,Critical Thinking,Multitasking,Problem Solving,Project Management,Vulnerability Research,Economic Research,Qualitative Research,Quantitative Research,Market Research,Teamwork,"
Time Management",Applied Mathematics,Mathematical Modeling,Communication,Decision Making,"
Financial Planning",Leadership,Statistical Data Analysis,,,
Product Manager,"Analytical Skills
","Multitasking
","Problem Solving
",Teamwork,Time Management,Leadership,"Finanicial Planning
",Budget Oversight,"Customer Analysis
","Communication
",Stragetic Planning,Financial Analysis,"Relationship Building
",Marketing,Microsoft Office,Product Development,Qualitative Research,"Creative Strategy
",,,,,,
Project Manager,"Multitasking
","Problem Solving
",Teamwork,"Leadership
",Time Management,"Finanicial Planning
",Budget Oversight,"Communication
",Stragetic Planning,"Relationship Building
",Marketing,Microsoft Office,"
Qualitative Research",Accuracy,Quality Management,Risk Management,Troubleshooting,Decision Making,,,,,,
Search Engine Optimization (SEO),Algorithms,"Analytical Skills
",Communication,Data Analysis,Content Management,Data Science,Google Analytics,Keyword Research,Microsoft Office,Multitasking,Optimization,Project Management,Problem Solving,Research,SEO,Social Media,SMO,Technical,Web Analytics,,,,,
Software Engineer,Analytical Skills,Databases,"Problem Solving
",JavaScript,Linux,Project Management,Time Management,Java,"PHP
",Node.js,ASP.NET,Software Documentation,Ruby on Rails,C++,Data Structures,Teamwork,,,,,,,,
Software Developer,Critical Thinking,Android,C++,C#,Software Development,Software Documentation,Software Design,Databases,Teamwork,Time Management,Git,Github,Java,JavaScript,Ruby on Rails,Problem Solving,Data Structures,Algorithms,XML,Web Services,,,,
Web Designer,"HTML
",CSS,Design Thinking,Flash,SEO,Project Management,,,,,,,,,,,,,,,,,,
Web Developer,"HTML
",CSS,Design Thinking,"AJAX
",JavaScript,"PHP
",Java,Perl,C++,Databases,Flash,SEO,Project Management,,,,,,,,,,,
Biomedical Engineer,"Analytical Skills
","Problem Solving
",Clinical Research,Human Anatomy,Communication,Teamwork,Durable Medical Equipment,Quality Assurance,Chemistry,Strategic Partnerships,,,,,,,,,,,,,,
Graphic Design,Adobe Acrobat,Adobe Creative Suite,Flash,Illustrator,InDesign,Photoshop,Aesthetics,Analytical Skills,Creativity Skills,CSS,Dreamweaver,Microsoft Excel,HTML,Layout,Creative Writing,Typography,,,,,,,,
Hair Stylist,Hair Care,"Hair Cutting
",Keratin Treatment,Creativity Skills,Affirmative Action,"Teamwork
",Multitasking,,,,,,,,,,,,,,,,,
Human Resources,Affirmative Action,Job Coaching,Leadership,Teamwork,"Communication
",Microsoft Office,Problem Solving,Creativity Skills,Troubleshooting,Complience Oversight,Relationship Building,Decision Making,"Employment Law
",Job Evaluation,Motivational Interviewing,Interviewing Skills,"
Corporate Law","International Law
",Microsoft Office,Social Networking,Networking,Presentation Skills,Social Media,Troubleshooting
Information Security Analyst,Background Checks,Fraud Detection,"Information Security Awareness
",Information Management,Information Architecture,Security Audits,Securiy Awareness,Cyber-security,Network Security,Security Operations,Firewalls,System Administration,Cyber Defense,Teamwork,Multitasking,Problem Solving,Qualitative Research,Decision Making,Analytical Skills,Time Management,,,,
Journalist,Easily Adaptable,Business Journalism,Critical Thinking,Writing,Multitasking,"Teamwork
",Communication,Microsoft Office,Management by Objectives,"
Time Management",Social Networking,News Writing,Report Writing,High Avalaibility,,,,,,,,,,
Travel Agent / Coordinator,Consulting,Budgeting,Geography,Social Media,Microsoft Excel,Microsoft Word,,,,,,,,,,,,,,,,,,
Photography,Artistic Abilities,Communication,Creativity Skills,Customer Service,Graphic Design,Digital Photography,,,,,,,,,,,,,,,,,,
Television / Film Producer,"Editing
",Creativity,"Project Management
",Social Media,"Social Media Marketing
","Leadership
","Communication
",Time Management,,,,,,,,,,,,,,,,
Teacher,"Childcare
","Working with Children
",Coaching,Communication,Psychological Testing,Curriculum Design,Educational Leadership,"Public Relations
",Supervisory Skills,Teaching,University Teaching,Lesson Planning,,,,,,,,,,,,
Financial Advisor,"Market Research
","Analytical Skills
",Operational Risk Management,Strategic Planning,Critical Thinking,"Financial Risk Management
",Financial Advisory,Financial Analysis,Financial Planning,,,,,,,,,,,,,,,
Physician,CPR Certified,"Wound Care
",Ambulatory Care,Healthcare,Healthcare Management,Healthcare Consulting,Medicare,Medical Writing,Emergency Medicine,Medicine,Sport Medicine,General Surgery,Physical Therapy,,,,,,,,,,,
Nursing,CPR Certified,"
Wound Care",Assisting Others,"Ambulatory Care
",Healthecare,"Medicare
",Medical Writing,Emergency Medicine,Medicine,General Surgery,Nursing Care,Occupational Health Nursing,Nursing Education,Nursing,,,,,,,,,,
Legal,Patient Advocacy,Critical Thinking,Administrative Law,Criminal Law,Employment Law,Family Law,International Law,Legal Advice,Legal Research,,,,,,,,,,,,,,,
School Psychologist,"Working with Children
","Psychological Testing
","Supervisory Skill
",Test Planning,Psychology,Social Psychology,"Cognitive Psychology
","Psychosocial
",,,,,,,,,,,,,,,,
Civil Engineer,Civil Engineering,Engineering,"Project Engineering
",Process Engineering,Engineering Management,Geotechnical Engineering,Technical Writing,Autocad,"Autocad Civil 3D
",,,,,,,,,,,,,,,
Meteorologist,"Outcomes Research
","Geography
",News Writing,Report Writing,Analytical Skills,Math,,,,,,,,,,,,,,,,,,
Chef,Quality Management,Quality Control,Food Quality,Food Safety,Food Preparation,"Banquets
",Client Services,Customer Services,Guest Service Management,"Observation
",,,,,,,,,,,,,,
Blue Collar Job,"Construction
",Electrics,Electrical Controls,Electrical Troubleshooting,Machine,Gardening,,,,,,,,,,,,,,,,,,
Broadcaster,News Writing,Public Speaking,Storytelling,Newstellers,TV News Production,"Broadcast
",Broadcast Television,Broadcast Journalism,Radio Broadcasting,Communication,,,,,,,,,,,,,,
Career Counselor,Client Relations,Client Services,Client Acquisition,"Qualitative Research
",Coaching,Strategic Planning,Global Business Development,"Job Coaching
","
",,,,,,,,,,,,,,,
Chiropractor,Biotechnology,Customer Service,Observational,"Behavioral Health
","Physical Therapy
",Human Anatomy,Patient Safety,Outpatient Orthopedics,Quality Patient Care,,,,,,,,,,,,,,,
Claims Adjuster,Automotive Aftermarket,Claims Management,Claims Handling,Customer Service,Technical Support,Technical Documentation,Title Insurance,Benefits Negotiation,Policy Analysis,,,,,,,,,,,,,,,
Concierge,"Hotel Booking
",Customer Service,Guest Service Management,Guest Recovery,"Homeland Security
",Ticketing,Airline Ticketing,,,,,,,,,,,,,,,,,
Counseling,"Management Consulting
",Consulting,Healthcare Consulting,Start-Up Consulting,Client Relations,Client Service,Customer Support,Coaching,,,,,,,,,,,,,,,,
Dentist,Patient Safety,Patient Advocacy,Teeth Whitening,Customer Service,"
",,,,,,,,,,,,,,,,,,,
Editing,Communication,Creative Strategy,Consulting,Management Consulting,Copy Editing,Video Editing,Image Editing,Sound FX Editing,Non-Linear Editing,HTML,HTML-scripting,Project Management,Web Typography,,,,,,,,,,,
Esthetician,Skin Care,Skin Care Products,Patient Safety,Customer Service,,,,,,,,,,,,,,,,,,,,
Fashion Design,Creative Strategy,Fashion Illustration,Fashion Photography,Digital Illustration,Graphic Illustration,Fashion Blogging,Fashion Shows,Jewelry Design,Marketing,Luxury Lifestyle,,,,,,,,,,,,,,
Law Enforcement,Criminal Law,Criminal Justice,Criminal Investigations,Federal Law Enforcement,International Humanitarian Law,Rule of Law,Administration Law,American Sign Language,Fitness,,,,,,,,,,,,,,,
Energy Engineer,Energy Efficiency,Renewable Energy,Alternative Energy,Engineering,Project Engineering,Process Engineering,Engineering Management,Technical Writing,AutoCAD,,,,,,,,,,,,,,,
Surveyor,Math,"Analytical Skills
",AutoCAD,Customer Service,Communication,Team Work,Leadership,,,,,,,,,,,,,,,,,
Scrum Master,Project Planning,Communication,Coaching,Teamwork,Leadership,Time Management,Team Building,Employee Relations,Employee Engagement,Empoyee Management,,,,,,,,,,,,,,
Restaurant and Food Service,Client Service,Communication,Food Processing,Food Preparation,Teamwork,Presentation Skills,,,,,,,,,,,,,,,,,,
Pharmacist,Drug Discovery,Drug Development,Psychopharmacology,Math,Advice,Medical Writing,Medical Devices,CPR,Emergency Medicine,,,,,,,,,,,,,,,
Paralegal,Client Relations,Communication,Assisting Others,"Legal Assistance
",Administrative Assistance,Legal Writing,Report Writing,,,,,,,,,,,,,,,,,
Mechanical Engineer,Mechanical Engeneering,Engeneering Management,Math,Computer Graphics,AutoCAD,Decision Making,Team Work,,,,,,,,,,,,,,,,,
Nutritionist / Dietician,Nutritional Counseling,Menu Development,Nutrition Education,Problem Solving,Microsoft Excel,Interviewing,Documentation,Critical Thinking,,,,,,,,,,,,,,,,
